user_id,rank,recommended_title
571,1,Night of the Demons (1988)
571,2,Sleepaway Camp (1983)
571,3,The Gate (1987)
571,4,House (1986)
571,5,The Return of the Living Dead (1985)
491,1,The Hangover
491,2,Paul Blart: Mall Cop
491,3,The Proposal
491,4,Crazy
491,5,Stupid
386,1,The Rock
386,2,True Lies
386,3,Grosse Pointe Blank
386,4,Executive Decision
386,5,The Long Kiss Goodnight
582,1,Inside Out
582,2,Moonrise Kingdom
582,3,Shutter Island
582,4,The Grand Budapest Hotel
582,5,The Shape of Water
554,1,Sunset Boulevard
554,2,Singin' in the Rain
554,3,Rear Window
554,4,The Apartment
554,5,Casino
31,1,Back to the Future
31,2,The Goonies
31,3,Jurassic Park
31,4,The Princess Diaries
31,5,Ghostbusters
34,1,Akira (1988)
34,2,Oldboy (2003)
34,3,The Fifth Element (1997)
34,4,Battle Royale (2000)
34,5,The Raid: Redemption (2011)
90,1,Shakespeare in Love
90,2,Billy's Hollywood Screen Kiss
90,3,Trainspotting
90,4,The English Patient
90,5,My Own Private Idaho
264,1,The Princess Bride
264,2,Braveheart
264,3,Schindler's List
264,4,The Shawshank Redemption
264,5,Beauty and the Beast
223,1,The Shawshank Redemption
223,2,Jurassic Park
223,3,The Prestige
223,4,The Incredibles
223,5,Mad Max: Fury Road
